Fiscal Year,Professor Name,Department,Project Name,Project Duration,Project Cost
111,朱家齊,國立清華大學電機工程學系（所）,多部三相電力轉換器之並網雙向控制與環流抑制策略,2022/11/01~2024/01/31,"690,000元"
111,朱家齊,國立清華大學電機工程學系（所）,應用多重代理人深度強化學習於獨立交流微電網之共識型自主實虛功、不平衡功率與諧波功率分配,2022/08/01~2023/10/31,"808,000元"
111,朱家杰,國立清華大學數學系（所）,冰層動力學的數學模型、分析與計算的新發展-子計畫二:一種針對斯托克斯方程的弱伽遼金有限元方法以及冰層動力學的應用(2/2),2022/08/01~2024/07/31,"1,002,000元"
111,朱惠瓊,國立清華大學教育心理與諮商學系,以藝術為基礎的督導取向之同理理解經驗探究,2022/08/01~2024/07/31,"1,809,000元"
111,朱英豪,國立清華大學材料科學工程學系（所）,埃尺度材料結構元素解析功能性表徵能力之建立,2022/06/01~2023/05/31,"749,000元"
111,朱英豪,國立清華大學材料科學工程學系（所）,大面積可撓單晶之製造(3/3),2022/08/01~2023/07/31,"7,695,000元"
111,朱英豪,國立清華大學材料科學工程學系（所）,柔性雲母電子產學聯盟(2/3),2022/02/01~2023/01/31,"2,000,000元"
111,李昀儒,國立清華大學工業工程與工程管理學系（所）,透過神經人因途徑使用全域步態辨識系統進行動向模式預測(5/5),2022/02/01~2023/01/31,"4,637,000元"
111,李昀儒,國立清華大學工業工程與工程管理學系（所）,頭部動作步態識別於擴增實境下之虛擬示警及緩解數位動暈應用,2022/08/01~2025/07/31,"3,479,000元"
111,李清福,國立清華大學分析與環境科學研究所,台灣脂肪酵母屬菌種基因演化關係及其對土壤菌相改變研究,2022/08/01~2024/07/31,"1,230,000元"
111,李昇憲,國立清華大學奈米工程與微系統研究所,全整合CMOS-MEMS超聲波傳感器陣列之設計與開發,2022/08/01~2025/07/31,"4,229,000元"
111,李昇憲,國立清華大學奈米工程與微系統研究所,具規模擴充性之CMOS全整合奈米孔生物分子感測器開發-子計畫四-感測器前端之多通道高速讀取電路設計與開發(3/5),2022/10/01~2023/09/30,"588,000元"
111,李昇憲,國立清華大學奈米工程與微系統研究所,微機電壓電製程平台與運動感測器集成技術開發(1/4),2022/08/01~2023/07/31,"6,000,000元"
111,李昇憲,國立清華大學奈米工程與微系統研究所,超抗震與高穩定度微型壓電振盪器之設計與開發(2/3),2022/11/01~2023/10/31,"1,600,000元"
111,李三保,國立清華大學材料科學工程學系（所）,聚甲基丙烯酸甲酯複合材的自我癒合和裂紋成長,2022/08/01~2023/12/31,"1,350,000元"
111,李嘉甄,國立清華大學材料科學工程學系（所）,5GNR中高頻電磁遮蔽導熱複合材開發,2022/01/01~2022/12/31,"550,000元"
111,李國賓,國立清華大學動力機械工程學系,使用電磁驅動的陣列微流體平台進行多重RT-PCR快速診斷SARS-CoV-2和A/B型流感(1/3),2022/08/01~2023/07/31,"5,710,000元"
111,李昌駿,國立清華大學動力機械工程學系,人工智慧輔助先進封裝之玻璃中介層應力引致失效機制研究與結構設計優化,2022/08/01~2025/07/31,"3,698,000元"
111,李明昌,國立清華大學光電工程研究所,光量子晶片應用於積體化多通道量子隨機亂數產生器(1/5),2022/03/01~2023/06/30,"20,000,000元"
111,李明昌,國立清華大學光電工程研究所,結合微機電光學探針及影像分析方法應用於可程式化矽光積電路,2022/08/01~2025/07/31,"4,070,000元"
111,李明蒼,國立清華大學動力機械工程學系,高精度三維自由曲面光電半導體元件虛實複合加工技術及系統開發(2/4),2022/06/01~2023/05/31,"9,047,000元"
111,李進得,國立清華大學原子科學技術發展中心,應用機器學習於超臨界加熱流體的熱傳惡化預測、肇因分析及新經驗式發展,2022/08/01~2023/07/31,"800,000元"
111,李政昇,國立清華大學分子與細胞生物研究所,染色體動態變化在DNA重組與修復中所扮演的角色(3/5),2022/02/01~2023/01/31,"3,500,000元"
111,李政崑,國立清華大學資訊工程學系（所）,總計畫暨子計畫一:支援RISC-V異質多核心系統的編譯器最佳化,2022/08/01~2025/07/31,"3,647,000元"
111,李奕賢,國立清華大學材料科學工程學系（所）,晶圓級二維材料單光子量子光源的調控與分析,2022/08/01~2025/07/31,"6,790,000元"
111,李瑞光,國立清華大學光電工程研究所,先進重力波探測器之儀器與資料分析研發(2/4),2022/08/01~2023/12/31,"10,000,000元"
111,李銘晃,國立清華大學動力機械工程學系,整合低功率微機電振盪器之喚醒接收機設計,2022/08/01~2024/07/31,"2,398,000元"
111,李定國,國立清華大學物理學系（所）,在渦流中及Andreev反射的實驗的銅氧超導體的pairdensitywave態的物理性,2022/08/01~2023/07/31,"897,000元"
111,李依珊,國立清華大學電機工程學系（所）,以高效率單光子雪崩偵測器實現量子亂數產生器,2022/08/01~2023/07/31,"796,000元"
111,李家維,國立清華大學生命科學系（所）,全球植物種源保育計畫(2/2),2022/05/01~2023/07/31,"4,000,000元"
111,李金龍,國立清華大學計算與建模科學研究所,混合型化學活性係數的熱力學性質基於Poisson-Bikerman理論的數學建模,2022/08/01~2023/07/31,"490,000元"
111,李志浩,國立清華大學工程與系統科學系,加馬射線誘發新穎濺射薄膜磁性之研究,2022/08/01~2023/09/30,"1,202,000元"
111,李志浩,國立清華大學工程與系統科學系,研究用反應器石墨緩和劑除役表面碳十四分離之研究,2022/01/01~2022/12/31,"600,000元"
111,李以如,國立清華大學分子醫學研究所,細胞核膜重組與修復的分子機制,2022/11/01~2023/10/31,"1,200,000元"
111,李濬屹,國立清華大學資訊工程學系（所）,智慧型機器人視覺感知及巨集行動策略集之深度學習技術,2022/08/01~2025/07/31,"5,460,000元"
111,李濬屹,國立清華大學資訊工程學系（所）,深度學習技術於智慧型機器人系統之有效訓練演算法與最佳化技術(4/4),2022/02/01~2023/01/31,"5,001,000元"
111,李端興,國立清華大學資訊工程學系（所）,賽局理論與強化學習應用於無線網路資源分配之研究,2022/08/01~2025/07/31,"2,853,000元"
111,李哲榮,國立清華大學資訊工程學系（所）,元宇宙的關鍵技術:單張影像3D物件生成技術,2022/06/01~2023/05/31,"1,200,000元"
111,李哲榮,國立清華大學資訊工程學系（所）,快速且強固的對抗式訓練：架構、資料、及演算法,2022/08/01~2023/07/31,"700,000元"
111,東聖甯,國立清華大學數學系（所）,泰勒-懷爾斯補丁方法得推廣和局部對稱空間的完備化同調群,2022/09/01~2025/07/31,"2,176,000元"
111,林昀嫺,國立清華大學科技法律研究所,青少女人工流產之自主決定：優生保健法中父母同意及美國司法替代同意之研究(重點代號：L03),2022/08/01~2023/12/31,"532,000元"
111,林昆翰,國立清華大學化學工程學系（所）,利用機器學習及多尺度模擬設計有機發光二極體元件之材料,2022/09/01~2024/08/31,"2,345,000元"
111,林崇榮,國立清華大學電子工程研究所,應用於高速類神經網路晶片的CMOS製程相容之人工突觸元件,2022/08/01~2023/10/31,"882,000元"
111,林嘉文,國立清華大學電機工程學系（所）,低標註資源應用之深度學習技術開發(4/4),2022/01/01~2022/12/31,"7,513,000元"
111,林嘉文,國立清華大學電機工程學系（所）,化不可見為可見：太赫茲電腦斷層掃描成像處理技術研究,2022/08/01~2025/07/31,"3,624,000元"
